"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","industry","Summary Quote",
"LNG","Cheniere Energy, Inc.","73.4","17469039767.8","n/a","n/a","Public Utilities","Oil/Gas Transmission","http://www.nasdaq.com/symbol/lng",
"CVR","Chicago Rivet & Machine Co.","33.5501","32413825.2132","n/a","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/cvr",
"CNR","China Metro-Rural Holdings Limited","1","73543782","n/a","n/a","Finance","Real Estate","http://www.nasdaq.com/symbol/cnr",
"CPHI","China Pharma Holdings, Inc.","0.32","13945458.24","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/cphi",
"CKX","CKX Lands, Inc.","16.5","32051167.5","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/ckx",
"GLV","Clough Global Allocation Fund","15.15","158084280.9","n/a","2004","n/a","n/a","http://www.nasdaq.com/symbol/glv",
"GLQ","Clough Global Equity Fund","15.03","268145796.15","n/a","2005","n/a","n/a","http://www.nasdaq.com/symbol/glq",
"GLO","Clough Global Opportunities Fund","12.61","652401791.99","n/a","2006","n/a","n/a","http://www.nasdaq.com/symbol/glo",
"CRV","Coast Distribution System, Inc. (The)","3","15947556","n/a","n/a","Capital Goods","Automotive Aftermarket","http://www.nasdaq.com/symbol/crv",
"MOC","Command Security Corporation","1.94","18474684.02","n/a","n/a","Consumer Services","Diversified Commercial Services","http://www.nasdaq.com/symbol/moc",
"CIX","CompX International Inc.","10.512","130318388.784","n/a","1998","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/cix",
"LODE","Comstock Mining, Inc.","1.57","132629200.86","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/lode",
"CTO","Consolidated-Tomoka Land Co.","45","264656655","n/a","n/a","Finance","Real Estate","http://www.nasdaq.com/symbol/cto",
"CEP","Constellation Energy Partners, LLC","2.79","80442482.49","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/cep",
"MCF","Contango Oil & Gas Company","40.95","793013662.35","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/mcf",
"CUO","Continental Materials Corporation","16.75","27640297.25","n/a","n/a","Capital Goods","Building Materials","http://www.nasdaq.com/symbol/cuo",
"CMT","Core Molding Technologies Inc","13.2","100273285.2","n/a","n/a","Consumer Non-Durables","Plastic Products","http://www.nasdaq.com/symbol/cmt",
"CRMD","CorMedix Inc","1.91","42007363.44","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/crmd",
"CRMD/WS","CorMedix Inc","0.32","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/crmd/ws",
"CFP","Cornerstone Progressive Return Fund","4.62","181367908.26","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cfp",
"CRF","Cornerstone Strategic Return Fund, Inc. (The)","5.75","100081774.5","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/crf",
